Dataset,Model,Parameterization,Shots,HPO,DP,Seed,LR,C,BS
CIFAR10,ViT,Head,100,TD,8,1,0.006167269780804552,2.058,770
CIFAR10,ViT,Head,100,TD,8,1,0.0024932776840001264,6.231,744
CIFAR10,ViT,Head,100,TD,8,1,0.0013661638244748075,1.09,818
CIFAR10,ViT,Head,100,TD,8,1,0.0036113500266725437,0.2,749
CIFAR10,ViT,Head,100,TD,8,1,0.0029650606491633475,3.14,656
CIFAR10,ViT,Head,100,TD,8,1,0.001027462732663668,5.049,666
CIFAR10,ViT,Head,100,TD,8,1,0.00209672106208124,4.59,1000
CIFAR10,ViT,Head,100,TD,8,1,0.00046269199540308243,9.418,373
CIFAR10,ViT,Head,100,TD,8,1,0.00021667337611006363,0.2,829
CIFAR10,ViT,Head,100,TD,8,1,0.0019865053100655986,0.2,1000
CIFAR10,ViT,Head,100,TD,8,1,0.0023743628061567226,4.655,792
CIFAR10,ViT,Head,100,TD,8,1,0.0016514900426469732,6.861,742
CIFAR10,ViT,Head,100,TD,8,1,0.0010875166422277811,8.678,828
CIFAR10,ViT,Head,100,TD,8,1,0.0014329897679800144,0.2,394
CIFAR10,ViT,Head,100,TD,8,1,0.0023672501331837514,0.217,968
CIFAR10,ViT,Head,100,TD,8,1,0.004323381742418507,2.488,681
CIFAR10,ViT,Head,100,TD,8,1,0.0022514251174119795,2.043,383
CIFAR10,ViT,Head,100,TD,8,1,0.00136272535287274,1.208,604
CIFAR10,ViT,Head,100,TD,8,1,0.0006675162604733602,7.218,181
CIFAR10,ViT,Head,100,TD,8,1,0.0021085462068295706,0.2,627
CIFAR10,ViT,Head,100,TD,8,1,0.0021955326728449486,0.2,781
CIFAR10,ViT,Head,100,TD,8,1,0.0016846053893953994,2.704,341
CIFAR10,ViT,Head,100,TD,8,1,0.001653595738083767,7.655,862
CIFAR10,ViT,Head,100,TD,8,1,0.003385901779595021,1.542,730
CIFAR10,ViT,Head,100,TD,8,1,0.0005028737533114291,8.346,254
CIFAR10,ViT,Head,100,TD,8,1,0.00233455690373144,3.112,1000
CIFAR10,ViT,Head,100,TD,8,1,0.0020477226487325634,7.846,1000
CIFAR10,ViT,Head,100,TD,8,1,0.0024537637390202633,7.73,571
CIFAR10,ViT,Head,100,TD,8,1,0.0010160147769136124,6.956,933
CIFAR10,ViT,Head,100,TD,8,1,0.00047133980157461173,3.082,578
CIFAR10,ViT,Head,100,TD,8,1,0.0013059674337781403,6.359,991
CIFAR10,ViT,Head,100,TD,8,1,0.002216274280902484,8.285,1000
CIFAR10,ViT,Head,100,TD,8,1,0.000495819604315455,7.435,606
CIFAR10,ViT,Head,100,TD,8,1,0.0018963050765144877,10.0,457
CIFAR10,ViT,Head,100,TD,8,1,0.002706156846502169,0.2,352
CIFAR10,ViT,Head,100,TD,8,1,0.0010189513422015934,1.323,716
CIFAR10,ViT,Head,100,TD,8,1,0.00215497664620647,4.878,489
CIFAR10,ViT,Head,100,TD,8,1,0.0007321332907624191,4.335,401
CIFAR10,ViT,Head,100,TD,8,1,0.0012079281678286544,0.251,691
CIFAR10,ViT,Head,100,TD,8,1,0.003013501432523057,10.0,968
CIFAR10,ViT,Head,100,TD,8,1,0.002452990667374282,0.314,893
CIFAR10,ViT,Head,100,TD,8,1,0.000502387931809005,5.413,320
CIFAR10,ViT,Head,100,TD,8,1,0.0017092684555672607,4.101,447
CIFAR10,ViT,Head,100,TD,8,1,0.001741581711278136,6.255,882
CIFAR10,ViT,Head,100,TD,8,1,0.0011891899750740113,7.85,503
CIFAR10,ViT,Head,100,TD,8,1,0.004545543188315553,0.2,913
CIFAR10,ViT,Head,100,TD,8,1,0.0021738339651324445,0.2,861
CIFAR10,ViT,Head,100,TD,8,1,0.0026478829712871157,0.2,1000
CIFAR10,ViT,Head,100,TD,8,1,0.001556547757653078,10.0,448
CIFAR10,ViT,Head,100,TD,8,1,0.0012950375837036737,0.2,229
CIFAR10,ViT,Head,100,TD,8,1,0.002756287366640589,0.2,692
CIFAR10,ViT,Head,100,TD,8,1,0.0011047836769059207,1.897,174
CIFAR10,ViT,Head,100,TD,8,1,0.0033871735684418303,2.861,836
CIFAR10,ViT,Head,100,TD,8,1,0.0012914997614289477,1.614,480
CIFAR10,ViT,Head,100,TD,8,1,0.0028794112327450005,6.487,744
CIFAR10,ViT,Head,100,TD,8,1,0.002500091947092332,10.0,1000
CIFAR10,ViT,Head,100,TD,8,1,0.0031411182618140973,0.961,413
CIFAR10,ViT,Head,100,TD,8,1,0.0011837656744577234,2.888,472
CIFAR10,ViT,Head,100,TD,8,1,0.001603281078517284,1.232,421
CIFAR10,ViT,Head,100,TD,8,1,0.0022071936892913806,5.983,877
CIFAR10,ViT,Head,100,TD,8,1,0.0034060296588088357,2.256,353
CIFAR10,ViT,Head,100,TD,8,1,0.000895087770096011,10.0,664
CIFAR10,ViT,Head,100,TD,8,1,0.002802351508767977,0.2,380
CIFAR10,ViT,Head,100,TD,8,1,0.0008781657587470956,0.645,762
CIFAR10,ViT,Head,100,TD,8,1,0.0010326880206693216,10.0,781
CIFAR10,ViT,Head,100,TD,8,1,0.0012174801238047411,7.771,866
CIFAR10,ViT,Head,100,TD,8,1,0.0020584339486816646,8.598,824
CIFAR10,ViT,Head,100,TD,8,1,0.0024850727058003995,5.647,748
CIFAR10,ViT,Head,100,TD,8,1,0.002112566515383432,0.2,859
CIFAR10,ViT,Head,100,TD,8,1,0.0012377143814561982,9.314,353
CIFAR10,ViT,Head,100,TD,8,1,0.003435608703391427,0.2,762
CIFAR10,ViT,Head,100,TD,8,1,0.0034760802161623782,9.531,730
CIFAR10,ViT,Head,100,TD,8,1,0.0008741543439643665,1.231,136
CIFAR10,ViT,Head,100,TD,8,1,0.00245912179041921,3.574,604
