Model,Dataset,Shots,Parameterization,DP,MIA,FPR,p_value(KS),p_value(Wald),p_value(Welch),mu(ed-td)
R50,CIFAR10,50,FiLM,-1,WB-LiRA,0.001,0.03968253968253967,0.9826607709081104,0.9531329634488186,0.014863564074983404
R50,CIFAR10,50,FiLM,-1,WB-LiRA,0.01,0.03968253968253967,0.9951294208153062,0.979617142223022,0.00833698408078376
R50,CIFAR10,50,FiLM,-1,WB-LiRA,0.1,0.47619047619047616,0.9145597068676454,0.8938960620070526,0.003949571939494079
R50,CIFAR10,50,FiLM,-1,KL-LiRA,0.001,0.17857142857142855,0.9974706763673702,0.9841931763965588,0.008315328859438503
R50,CIFAR10,50,FiLM,-1,KL-LiRA,0.01,0.03968253968253967,0.9597117519375875,0.9277695322851355,0.006759327017717892
R50,CIFAR10,50,FiLM,-1,KL-LiRA,0.1,0.47619047619047616,0.7745385554047269,0.7501189847072233,0.003097100647029616
R50,CIFAR10,50,FiLM,8,ACC-LiRA,0.001,0.8333333333333334,0.4161622686447547,0.42397483117717694,-0.00012401289920907976
R50,CIFAR10,50,FiLM,8,ACC-LiRA,0.01,0.8333333333333334,0.2739374442050677,0.2877646418410883,-0.0007696284653972811
R50,CIFAR10,50,FiLM,8,ACC-LiRA,0.1,1.0,0.05626597268219634,0.07581620861528411,-0.0046544178699151895
R50,CIFAR10,50,FiLM,8,WB-LiRA,0.001,0.8333333333333334,0.4450790005917532,0.44800250642556055,-6.819928715111941e-05
R50,CIFAR10,50,FiLM,8,WB-LiRA,0.01,0.47619047619047616,0.5908161075123619,0.5896512726537662,0.00027337007676456193
R50,CIFAR10,50,FiLM,8,WB-LiRA,0.1,1.0,0.1661662804389094,0.13167244265976238,-0.001953863196041211
R50,CIFAR10,50,FiLM,8,KL-LiRA,0.001,0.47619047619047616,0.834977871529583,0.8576818165375141,0.0002792972965263798
R50,CIFAR10,50,FiLM,8,KL-LiRA,0.01,1.0,0.1987542264016257,0.20115051724740657,-0.0008742180677860402
R50,CIFAR10,50,FiLM,8,KL-LiRA,0.1,0.8333333333333334,0.20906763257743055,0.22197434210678818,-0.0025424674804985226
R50,CIFAR10,50,FiLM,1,ACC-LiRA,0.001,0.8333333333333334,0.31303979159316003,0.30641424740852596,-9.91870455124401e-05
R50,CIFAR10,50,FiLM,1,ACC-LiRA,0.01,0.47619047619047616,0.9125690988635579,0.9114941020297036,0.0008875808805222981
R50,CIFAR10,50,FiLM,1,ACC-LiRA,0.1,0.47619047619047616,0.9271179167084939,0.9146406111662619,0.003177755886023023
R50,CIFAR10,50,FiLM,1,WB-LiRA,0.001,0.8333333333333334,0.2314073416662868,0.2111276658589119,-0.00014264064441823977
R50,CIFAR10,50,FiLM,1,WB-LiRA,0.01,0.8333333333333334,0.10689480360865405,0.08949833787196956,-0.0006948869452398001
R50,CIFAR10,50,FiLM,1,WB-LiRA,0.1,1.0,0.03526289445421171,0.037279686360605635,-0.0032636281324151944
R50,CIFAR10,50,FiLM,1,KL-LiRA,0.001,0.8333333333333334,0.2018145900365348,0.2112311964358654,-0.0002172540718829801
R50,CIFAR10,50,FiLM,1,KL-LiRA,0.01,1.0,0.16595711011189396,0.04007545970170207,-0.00039713864169617884
R50,CIFAR10,50,FiLM,1,KL-LiRA,0.1,0.17857142857142855,0.6763056663311873,0.7128180444893717,0.0007080515747810018
