Dataset,Model,Parameterization,Shots,HPO,MIA,DP,Seed,N,TPR@FPR=0.001,TPR@FPR=0.00316,TPR@FPR=0.01,TPR@FPR=0.03162,TPR@FPR=0.1,TPR@FPR=0.31623,TPR@FPR=1.0,Classes
CIFAR10,ViT,Head,100,TD,WB-LiRA,8,10,129,0.0057798535253227,0.0141043942403177,0.0347023957298907,0.0840832919563058,0.198151998510427,0.4643821375372393,1.0,10
CIFAR10,ViT,Head,100,TD,ACC-LiRA,2,0,129,0.0014186046511627,0.0045581395348837,0.012829457364341,0.0402403100775193,0.1204573643410852,0.356015503875969,1.0,10
CIFAR10,ViT,Head,100,TD,KL-LiRA,2,0,129,0.0012790697674418,0.0046046511627906,0.0142480620155038,0.0445658914728682,0.1305736434108527,0.372968992248062,1.0,10
CIFAR10,ViT,Head,100,TD,WB-LiRA,2,0,129,0.0013798449612403,0.0045891472868217,0.0141007751937984,0.0426201550387596,0.1314108527131783,0.3776976744186046,1.0,10
CIFAR10,ViT,Head,100,TD,ACC-LiRA,2,1,129,0.0012954171708709,0.0040646622606968,0.0136135157777157,0.0421049365478296,0.1218778119085295,0.3511899221198299,1.0,10
CIFAR10,ViT,Head,100,TD,KL-LiRA,2,1,129,0.0018151354370287,0.0045300816035247,0.0139780942629309,0.044253622513885,0.1327996524868906,0.3725992118899128,1.0,10
CIFAR10,ViT,Head,100,TD,WB-LiRA,2,1,129,0.0014660709299078,0.0044912966582891,0.0141952899562505,0.0442924074591206,0.1310931148965217,0.3755778956840113,1.0,10
CIFAR10,ViT,Head,100,TD,ACC-LiRA,2,2,129,0.0012020349288085,0.0039550826689828,0.0124546328752675,0.0405202096969321,0.1206998169804882,0.3517929708099389,1.0,10
CIFAR10,ViT,Head,100,TD,KL-LiRA,2,2,129,0.0015897881316499,0.0046220181778701,0.0143933988894748,0.0434438688463566,0.1283152898842944,0.3699243105748053,1.0,10
CIFAR10,ViT,Head,100,TD,WB-LiRA,2,2,129,0.0012175450569221,0.0045134472810745,0.0144787045940999,0.0443434562769488,0.131828333902038,0.3742904116388001,1.0,10
CIFAR10,ViT,Head,100,TD,ACC-LiRA,2,3,129,0.0013415324488007,0.0037066619105593,0.0120505284707305,0.0403467822607535,0.1206138480268616,0.3565374504679854,1.0,10
CIFAR10,ViT,Head,100,TD,KL-LiRA,2,3,129,0.0014190776770551,0.0046992408322153,0.0151213195096039,0.0444644338810611,0.1289654691098583,0.3693246586071326,1.0,10
CIFAR10,ViT,Head,100,TD,WB-LiRA,2,3,129,0.0015974317020402,0.0045208868072303,0.0153539551943671,0.0453949766201136,0.1326411129291159,0.3755050132990066,1.0,10
CIFAR10,ViT,Head,100,TD,ACC-LiRA,2,10,129,0.0014507820258192,0.004515268123138,0.0128165342601787,0.0393961022840119,0.1192899702085402,0.3494677879841112,1.0,10
CIFAR10,ViT,Head,100,TD,KL-LiRA,2,10,129,0.0014275074478649,0.0042049404170804,0.0143759309831181,0.0451371648460774,0.1285998013902681,0.3687468967229394,1.0,10
CIFAR10,ViT,Head,100,TD,WB-LiRA,2,10,129,0.001481814796425,0.0045385427010923,0.0147483242303872,0.0442682472691161,0.1307255461767626,0.3732388902681231,1.0,10
CIFAR10,ViT,Head,100,TD,ACC-LiRA,1,0,129,0.0012480620155038,0.0037286821705426,0.0119612403100775,0.0360232558139534,0.1093023255813953,0.3343178294573643,1.0,10
CIFAR10,ViT,Head,100,TD,KL-LiRA,1,0,129,0.0013410852713178,0.0037984496124031,0.0117131782945736,0.0363255813953488,0.1152480620155038,0.3455736434108527,1.0,10
CIFAR10,ViT,Head,100,TD,WB-LiRA,1,0,129,0.0012713178294573,0.003906976744186,0.011953488372093,0.0388682170542635,0.1167286821705426,0.3432558139534883,1.0,10
CIFAR10,ViT,Head,100,TD,ACC-LiRA,1,1,129,0.001062707499457,0.003599242917869,0.011511371745943,0.0370784076452884,0.1121040057091439,0.3348381892084768,1.0,10
CIFAR10,ViT,Head,100,TD,KL-LiRA,1,1,129,0.0012178472803996,0.0041810170964038,0.0129541717087095,0.0385212076080548,0.1159669862546154,0.3499332898941946,1.0,10
CIFAR10,ViT,Head,100,TD,WB-LiRA,1,1,129,0.0010006515870799,0.0037854106550001,0.0120698749573365,0.0386453194328089,0.1148034378975456,0.3449455459368891,1.0,10
